BID100000,2018-11-18
BID100005,2018-05-09
BID100007,2018-01-31
BID100007,2018-08-12
BID100008,2018-12-19
BID100011,2018-09-29
BID100014,2018-10-17
BID10002,2018-01-27
BID100022,2018-07-04
BID100026,2018-12-21
BID100029,2018-03-27
BID100029,2018-06-22
BID100030,2018-12-01
BID100031,2018-02-25
BID100038,2018-03-11
BID100038,2018-04-04
BID100039,2018-02-11
BID100047,2018-08-24
BID100054,2018-05-30
BID100059,2018-07-11
BID100064,2018-01-21
BID100064,2018-10-07
BID10007,2018-01-03
BID100070,2018-10-29
BID100077,2018-04-03
BID100083,2018-08-02
BID100086,2018-11-19
BID100095,2018-09-28
BID100099,2018-11-22
BID100100,2018-01-15
BID100100,2018-02-14
BID100104,2018-11-04
BID100121,2018-02-28
BID100128,2018-01-11
BID100128,2018-07-23
BID100130,2018-06-05
BID100130,2018-07-20
BID100133,2018-05-21
BID100133,2018-08-19
BID100136,2018-06-26
BID10014,2018-10-27
BID100144,2018-03-02
BID100147,2018-03-18
BID100147,2018-07-01
BID10015,2018-10-14
BID100154,2018-07-12
BID100155,2018-04-05
BID10016,2018-01-05
BID100160,2018-09-27
BID100160,2018-12-12
BID100164,2018-01-04
BID100164,2018-03-04
BID100164,2018-06-10
BID100166,2018-01-11
BID100168,2018-05-05
BID100169,2018-01-13
BID10017,2018-12-17
BID100174,2018-01-10
BID100176,2018-06-07
BID10018,2018-02-24
BID100180,2018-07-23
BID100183,2018-02-22
BID100186,2018-02-11
BID100190,2018-06-25
BID100194,2018-03-25
BID100196,2018-02-06
BID100197,2018-07-19
BID100197,2018-10-22
BID100198,2018-09-16
BID10020,2018-07-12
BID100200,2018-06-13
BID100204,2018-07-02
BID100211,2018-08-09
BID100214,2018-06-06
BID100216,2018-04-03
BID100222,2018-02-13
BID100223,2018-01-02
BID100225,2018-05-09
BID100227,2018-04-09
BID10023,2018-04-28
BID100232,2018-06-03
BID100233,2018-05-26
BID100234,2018-01-11
BID100235,2018-06-26
BID100238,2018-07-25
BID100241,2018-07-09
BID100245,2018-10-16
BID100245,2018-12-17
BID100246,2018-02-25
BID100248,2018-09-04
BID100254,2018-08-22
BID100259,2018-11-14
BID100268,2018-02-08
BID100273,2018-04-12
BID100282,2018-11-20
BID100283,2018-02-19
BID100287,2018-02-16
BID100287,2018-08-14
BID100288,2018-10-28
BID100291,2018-02-16
BID100292,2018-09-24
BID100306,2018-08-17
BID100307,2018-03-09
BID100317,2018-08-17
BID10032,2018-12-21
BID100327,2018-04-14
BID100329,2018-05-03
BID10033,2018-08-27
BID100330,2018-01-13
BID100331,2018-07-21
BID100332,2018-12-07
BID100334,2018-03-16
BID100344,2018-08-19
BID10035,2018-02-14
BID100350,2018-04-02
BID100351,2018-12-05
BID100352,2018-02-11
BID100355,2018-01-20
BID100365,2018-12-23
BID100370,2018-09-27
BID100372,2018-06-18
BID100374,2018-12-28
BID100375,2018-02-27
BID100375,2018-10-23
BID100376,2018-01-25
BID100382,2018-01-06
BID100383,2018-09-27
BID100387,2018-08-29
BID100388,2018-03-05
BID100390,2018-10-12
BID100396,2018-02-15
BID100397,2018-03-04
BID10040,2018-08-25
BID100401,2018-06-18
BID100402,2018-10-04
BID100410,2018-04-14
BID100411,2018-10-03
BID100413,2018-04-23
BID100417,2018-10-12
BID100420,2018-11-25
BID100422,2018-05-16
BID100423,2018-08-07
BID100425,2018-09-14
BID100426,2018-04-06
BID100433,2018-10-07
BID100435,2018-03-04
BID100439,2018-03-06
BID100442,2018-11-06
BID100442,2018-11-23
BID100443,2018-11-28
BID100444,2018-09-21
BID100447,2018-07-07
BID10045,2018-05-23
BID100451,2018-10-10
BID100453,2018-11-23
BID100455,2018-01-25
BID100458,2018-06-21
BID100459,2018-10-12
BID10046,2018-01-27
BID100462,2018-08-09
BID100462,2018-10-04
BID100462,2018-10-08
BID100466,2018-05-02
BID100468,2018-01-17
BID100468,2018-06-29
BID100472,2018-04-23
BID100475,2018-02-07
BID100475,2018-09-11
BID100478,2018-05-25
BID100481,2018-11-26
BID100483,2018-02-07
BID100484,2018-07-27
BID100485,2018-05-19
BID100485,2018-07-04
BID100487,2018-04-27
BID100490,2018-06-23
BID100492,2018-01-02
BID100494,2018-08-12
BID100496,2018-02-16
BID100509,2018-10-05
BID100513,2018-03-02
BID100517,2018-02-03
BID100521,2018-08-22
BID100524,2018-07-07
BID100525,2018-08-14
BID100531,2018-07-24
BID100540,2018-06-21
BID100545,2018-01-04
